"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"SV_size",-0.060946600761148,-0.0609466007611475,0.0112532174938336,0.00381403653010572,-0.00220247120672476,0.00698619516271205,0.00306270094065016,0.16897523496666,-0.00525398858384296,0.0125265563574089,-0.0145190789058678,0.0178793748831064
"L_Insert_90_percentile",0.014818857343599,-0.196349073517776,-0.000379693343841754,0.00622699246456681,0.0270631829899392,-0.00322117910183885,0.0126280190370321,0.0270631829899394,-0.00970040717175638,-0.0048476279319748,-0.000981121386765722,-0.00655465910599956
"L_Diff",0.0366441014767358,0.0198754332364063,-0.0196291576057797,0.000184798292830813,0.00732449068374693,0.00772357099525052,0.000277239652541578,-0.0350528530220156,-0.0328945608936009,0.000277239652541678,0.0118224501700055,-0.00500574844886079
"LM_Dis_unmap",-0.00830336042568738,0.00339776679543029,0.00152821382743656,-0.00304924529490366,0.0400186181079887,-0.00476197445605957,0.000972386795896882,0.0211818784599832,0.0211818784599833,-0.011613410502947,0.025794109228665,-0.0119885138202373
"M_Insert",-0.0505769983889265,0.0332563669806475,0.00573955682179482,0.0033120627837482,0.0346412143001789,0.0153001791719976,-0.00201457419117896,0.0176836312355712,-0.00147845233812457,-0.00155447713428874,-0.0233543405754593,0.0176836312355713
"M_Dis_map",-0.0614050572572956,0.00288978903333727,0.0156805082654526,0.0028897890333366,0.0219582881385853,0.0021911067658377,0.00049567662669068,0.0891253198997712,0.00481303927032711,0.0105354041303134,-0.00753514455430348,0.0101497577240561
"M_Dis_all",-0.0516592411500484,-0.009707176160768,0.0176493910289158,-0.00555077021784711,-0.00278569414469526,0.0050111947148551,-0.0108378240488937,-0.00555077021784696,-0.0053324151782935,0.0182062739658474,-0.000750421337806074,0.0177605636719244
"M_Homvar",-0.0540595701633635,0.00480705363095462,0.00934466801301995,0.00257449624336663,-0.00335955692356099,0.00531283206669019,0.00627253437290001,0.151869220923384,0.0187850931702345,0.0048070536309546,-0.0286040342599463,0.00782354055414344
"M_Homvar_SV",0.0167566202591496,0.0532445781758501,-0.000473437866717471,-0.00944641287362955,-0.00944641287362962,-0.00901782440058332,-0.00448508006148996,-0.0648877813582688,0.0323278037788657,0.0175633863164929,-0.0122606350867955,-0.0083934588450111
"RM_Insert",-0.0106402878350381,-0.063432659341922,0.00808311321328854,-0.000223306030225206,-0.00665048642492193,0.00498151423715049,3.55244670884959e-05,-0.0589527336869379,0.0169871668127809,-0.0106402878350382,-0.0171278189755059,0.0169993699201995
